Author1,Author2,Shared Citations
P. Ananthalakshmi,G. S. Agarwal,4
A. I. Al-Sharif,A. Qteish,5
A. I. Al-Sharif,R. Resta,5
A. Qteish,R. Resta,5
Antonino Di Piazza,Emilio Fiordilino,16
Antonino Di Piazza,Marvin H. Mittleman,16
Emilio Fiordilino,Marvin H. Mittleman,16
Chang-shui Yu,Haiqing Zhao,8
Chenyun Yin,Natalia G. Berloff,18
Chenyun Yin,Víctor M. Pérez-García,18
Chenyun Yin,David Novoa,18
Chenyun Yin,Alicia V. Carpentier,18
Chenyun Yin,Humberto Michinel,18
Natalia G. Berloff,Víctor M. Pérez-García,18
Natalia G. Berloff,David Novoa,18
Natalia G. Berloff,Alicia V. Carpentier,18
Natalia G. Berloff,Humberto Michinel,18
Víctor M. Pérez-García,David Novoa,18
Víctor M. Pérez-García,Alicia V. Carpentier,18
Víctor M. Pérez-García,Humberto Michinel,18
David Novoa,Alicia V. Carpentier,18
David Novoa,Humberto Michinel,18
Alicia V. Carpentier,Humberto Michinel,18
Bernard Talin,Lewis Klein,11
F. T. Arecchi,Eric Courtens,192
Ioannis D. Chremmos,Nikolaos K. Efremidis,2
D. Thirumalai,Raymond D. Mountain,96
D. Thirumalai,T. R. Kirkpatrick,96
Raymond D. Mountain,T. R. Kirkpatrick,96
Yu Shi,Yong-Shi Wu,10
P. Moroshkin,V. Lebedev,5
P. Moroshkin,A. Weis,5
V. Lebedev,A. Weis,5
G. Grynberg,P. R. Berman,18
E. Engel,S. Keller,79
E. Engel,R. M. Dreizler,79
S. Keller,R. M. Dreizler,79
P. Panagiotopoulos,D. Abdollahpour,16
P. Panagiotopoulos,A. Lotti,16
P. Panagiotopoulos,A. Couairon,16
P. Panagiotopoulos,D. Faccio,16
P. Panagiotopoulos,D. G. Papazoglou,16
P. Panagiotopoulos,S. Tzortzakis,16
D. Abdollahpour,A. Lotti,16
D. Abdollahpour,A. Couairon,16
D. Abdollahpour,D. Faccio,16
D. Abdollahpour,D. G. Papazoglou,16
D. Abdollahpour,S. Tzortzakis,16
A. Lotti,A. Couairon,16
A. Lotti,D. Faccio,16
A. Lotti,D. G. Papazoglou,16
A. Lotti,S. Tzortzakis,16
A. Couairon,D. Faccio,16
A. Couairon,D. G. Papazoglou,16
A. Couairon,S. Tzortzakis,16
D. Faccio,D. G. Papazoglou,16
D. Faccio,S. Tzortzakis,16
D. G. Papazoglou,S. Tzortzakis,16
G. S. Adkins,J. Sapirstein,2
L. Natarajan,Riddhi Kadrekar,1
D. Ceperley,B. J. Alder,52
D. Peterson,L. W. Anderson,8
Vladimir N. Orlov,R. Stephen Berry,25
Jayanta K. Bhattacharjee,Richard A. Ferrell,36
Hugo L. D. de Souza Cavalcante,Carlos Renato de Carvalho,1
Hugo L. D. de Souza Cavalcante,Jean Claude Garreau,1
Carlos Renato de Carvalho,Jean Claude Garreau,1
Shuyu Zhou,Zhen Xu,3
Shuyu Zhou,Shanyu Zhou,3
Shuyu Zhou,Liang Liu,3
Shuyu Zhou,Yuzhu Wang,3
Zhen Xu,Shanyu Zhou,3
Zhen Xu,Liang Liu,3
Zhen Xu,Yuzhu Wang,3
Shanyu Zhou,Liang Liu,3
Shanyu Zhou,Yuzhu Wang,3
Liang Liu,Yuzhu Wang,3
J. Väyrynen,S. Aksela,24
J. Väyrynen,M. Kellokumpu,24
J. Väyrynen,H. Aksela,24
S. Aksela,M. Kellokumpu,24
S. Aksela,H. Aksela,24
M. Kellokumpu,H. Aksela,24
Ming Li,Shao-Ming Fei,1
Jacek Dziarmaga,Krzysztof Sacha,33
G. L. J. A. Rikken,C. Rizzo,14
F. H. M. Faisal,A. K. Bhatia,5
J. R. Bochinski,C. C. Yu,9
J. R. Bochinski,T. Loftus,9
